Gender,Marital_Status,Income_Category,Customer_Age,Credit_Limit,Total_Revolving_Bal
F,Married,$40K - $60K,46,2933.0,1569
F,Single,Unknown,55,18202.0,1841
M,Married,$80K - $120K,47,34516.0,760
F,Married,Less than $40K,52,2421.0,2312
F,Divorced,Less than $40K,44,2406.0,1491
F,Single,$40K - $60K,51,2621.0,2426
F,Married,Less than $40K,34,2291.0,0
F,Unknown,$40K - $60K,46,3645.0,1179
F,Single,$40K - $60K,37,3375.0,1730
M,Single,$120K +,47,8856.0,1433
F,Single,Less than $40K,36,2980.0,2093
M,Single,$60K - $80K,47,17656.0,0
F,Single,Less than $40K,57,2475.0,0
F,Single,Less than $40K,46,3942.0,1711
F,Single,Less than $40K,57,1771.0,1289
F,Divorced,Unknown,45,17678.0,0
M,Married,$120K +,50,20958.0,0
F,Single,Less than $40K,53,4117.0,777
F,Single,$40K - $60K,43,18524.0,1736
M,Married,Less than $40K,36,2222.0,1291
F,Married,Less than $40K,56,3119.0,1778
M,Married,$40K - $60K,46,1611.0,0
F,Divorced,Less than $40K,53,4090.0,2517
M,Single,$60K - $80K,55,1467.0,0
F,Married,$40K - $60K,52,2442.0,1507
F,Married,$40K - $60K,53,1816.0,0
F,Single,Less than $40K,40,1438.3,0
M,Single,$60K - $80K,42,14958.0,1644
F,Married,Unknown,43,21961.0,0
F,Single,Less than $40K,40,1625.0,912
F,Married,Less than $40K,49,3007.0,2517
M,Married,$120K +,47,11629.0,802
F,Unknown,Less than $40K,42,1507.0,0
F,Single,Unknown,45,3111.0,1994
M,Single,$40K - $60K,60,1848.0,1408
F,Single,$40K - $60K,44,4142.0,2517
M,Single,$80K - $120K,46,1438.3,0
F,Single,Less than $40K,45,2202.0,1414
M,Married,$60K - $80K,42,3591.0,1749
M,Married,$120K +,49,4781.0,0
F,Married,Less than $40K,58,3832.0,1439
M,Married,$120K +,53,9025.0,1005
M,Single,$40K - $60K,44,11627.0,0
F,Married,Unknown,61,5686.0,0
F,Married,Less than $40K,49,2636.0,1840
F,Single,Less than $40K,37,1438.3,0
F,Single,Less than $40K,43,4976.0,866
F,Single,Unknown,38,13951.0,1607
M,Single,$60K - $80K,44,14370.0,945
M,Single,$40K - $60K,60,21681.0,0
F,Single,$40K - $60K,59,2634.0,1644
F,Single,$40K - $60K,37,2204.0,919
F,Unknown,$40K - $60K,48,2447.0,1991
F,Single,Unknown,60,3068.0,0
F,Single,Less than $40K,48,1502.0,0
F,Single,Unknown,39,4181.0,1604
F,Married,Less than $40K,52,3136.0,1103
F,Married,Less than $40K,42,4478.0,1700
F,Single,Unknown,60,7359.0,0
M,Single,$40K - $60K,52,13090.0,0
F,Married,$40K - $60K,44,6849.0,0
F,Married,Less than $40K,36,4228.0,1886
F,Married,$40K - $60K,49,5678.0,2082
F,Married,Less than $40K,42,3964.0,1218
M,Married,$80K - $120K,48,7970.0,2434
F,Unknown,Unknown,36,4692.0,0
F,Divorced,Less than $40K,45,1942.0,0
M,Divorced,$40K - $60K,40,5821.0,894
F,Unknown,Less than $40K,48,2357.0,1462
F,Married,Unknown,54,8294.0,696
F,Married,$40K - $60K,32,3174.0,2084
F,Single,Less than $40K,34,1438.3,0
F,Divorced,Less than $40K,46,1852.0,1428
M,Single,$40K - $60K,47,1809.0,457
F,Divorced,$40K - $60K,48,3503.0,1572
M,Single,$40K - $60K,52,17835.0,868
M,Married,$120K +,45,3383.0,1458
F,Single,Less than $40K,46,7128.0,1457
F,Married,Less than $40K,36,1438.3,790
F,Married,Less than $40K,42,3815.0,1190
F,Married,Less than $40K,39,1902.0,962
F,Divorced,Less than $40K,43,2077.0,1254
F,Married,Less than $40K,48,2514.0,2090
M,Single,$80K - $120K,56,34516.0,0
F,Single,Less than $40K,45,2144.0,1492
F,Single,Less than $40K,65,5951.0,2517
F,Divorced,Unknown,54,4806.0,0
F,Single,Unknown,42,16612.0,2517
F,Married,$40K - $60K,53,2799.0,0
M,Single,$40K - $60K,63,18064.0,1695
F,Married,Less than $40K,49,2560.0,1430
F,Married,Less than $40K,42,5821.0,0
F,Single,Less than $40K,43,2057.0,1279
F,Divorced,Less than $40K,49,1972.0,1489
M,Married,$60K - $80K,44,2675.0,0
M,Married,$40K - $60K,48,6223.0,2126
F,Single,Unknown,44,7632.0,0
F,Unknown,Less than $40K,55,3258.0,2517
M,Single,$60K - $80K,46,34516.0,2040
F,Divorced,$40K - $60K,49,3054.0,845
F,Single,Less than $40K,35,1438.3,0
M,Single,$120K +,50,7970.0,2282
F,Single,Less than $40K,55,1836.0,572
M,Unknown,$120K +,47,9397.0,795
F,Married,Less than $40K,60,1601.0,0
M,Married,$80K - $120K,45,34516.0,1170
F,Married,Less than $40K,51,1822.0,1114
M,Married,Less than $40K,41,1614.0,700
F,Married,Less than $40K,54,1491.0,1349
F,Divorced,Less than $40K,28,2543.0,1156
F,Divorced,Less than $40K,50,3462.0,1817
F,Married,Less than $40K,44,1699.0,0
F,Married,Unknown,46,13095.0,1836
M,Single,$60K - $80K,47,8823.0,2517
M,Married,$60K - $80K,48,4429.0,883
F,Married,Unknown,58,5396.0,1803
F,Single,$40K - $60K,65,2418.0,2205
F,Single,Less than $40K,56,2086.0,1792
F,Single,$40K - $60K,48,1899.0,671
M,Single,$40K - $60K,43,7564.0,0
M,Married,$60K - $80K,41,13116.0,1225
F,Married,Less than $40K,35,1438.3,606
F,Married,Less than $40K,48,3716.0,0
F,Married,Less than $40K,50,3069.0,1482
F,Single,Less than $40K,51,2006.0,1608
F,Married,$40K - $60K,45,2948.0,2232
F,Single,Less than $40K,47,1438.3,0
F,Married,Less than $40K,35,1438.3,670
F,Married,$40K - $60K,58,4669.0,1913
F,Married,Less than $40K,48,13994.0,0
M,Single,$120K +,57,8760.0,0
F,Married,Less than $40K,53,1688.0,0
F,Married,Unknown,46,9881.0,1794
M,Single,$60K - $80K,39,4534.0,917
F,Single,Less than $40K,57,3545.0,1446
F,Single,Less than $40K,57,1857.0,1528
F,Single,Unknown,56,3334.0,1272
F,Single,$40K - $60K,55,2496.0,1999
F,Married,Less than $40K,41,1438.3,765
F,Married,Less than $40K,45,1438.3,0
M,Single,$60K - $80K,52,9357.0,1285
F,Married,Less than $40K,40,2423.0,1674
F,Single,$40K - $60K,45,1936.0,1613
M,Divorced,$60K - $80K,43,1783.0,1014
F,Married,Less than $40K,59,1438.3,0
F,Single,Less than $40K,56,1438.3,0
F,Married,Less than $40K,44,10580.0,1023
F,Single,Less than $40K,54,4597.0,1316
F,Married,Less than $40K,49,1656.0,929
F,Single,Less than $40K,39,3279.0,0
F,Married,$40K - $60K,49,2578.0,1590
F,Married,$40K - $60K,44,4068.0,0
F,Married,Less than $40K,42,2128.0,528
F,Married,Less than $40K,45,2704.0,2262
F,Unknown,Less than $40K,38,1878.0,1247
F,Married,Unknown,46,10600.0,0
F,Divorced,Less than $40K,58,9909.0,0
F,Married,Less than $40K,57,1665.0,983
M,Divorced,$120K +,50,1656.0,0
M,Unknown,$80K - $120K,53,14111.0,1034
F,Married,Less than $40K,52,2012.0,1230
F,Married,Less than $40K,43,2837.0,1807
F,Single,Less than $40K,40,1709.0,0
F,Married,Less than $40K,49,5714.0,868
M,Married,$60K - $80K,41,5071.0,1043
M,Married,$80K - $120K,51,24028.0,0
F,Unknown,Unknown,31,13882.0,0
F,Unknown,$40K - $60K,49,3585.0,931
M,Single,$80K - $120K,40,9124.0,2126
F,Married,Unknown,45,2705.0,0
F,Single,Less than $40K,56,1936.0,1101
M,Married,$80K - $120K,49,8051.0,2138
F,Married,$40K - $60K,36,3635.0,1617
F,Married,Less than $40K,46,2532.0,1487
F,Married,Less than $40K,54,2028.0,0
F,Married,Less than $40K,42,4304.0,0
F,Unknown,Unknown,46,6644.0,2082
F,Married,Less than $40K,45,1830.0,650
M,Married,$120K +,37,7607.0,2170
F,Single,Less than $40K,55,2060.0,0
F,Single,Less than $40K,49,1438.3,906
M,Single,$60K - $80K,41,3126.0,1503
F,Single,$40K - $60K,47,6885.0,1611
M,Unknown,$60K - $80K,42,1871.0,0
F,Single,Less than $40K,31,2787.0,1761
M,Married,$80K - $120K,50,1867.0,1478
F,Married,Less than $40K,41,1438.3,0
F,Single,Less than $40K,47,2473.0,0
M,Single,$40K - $60K,40,4640.0,1555
F,Married,Less than $40K,47,2712.0,2411
F,Unknown,Unknown,46,8869.0,0
F,Married,Unknown,51,3853.0,696
F,Married,Less than $40K,53,1438.3,721
M,Divorced,$60K - $80K,50,14409.0,511
F,Single,$40K - $60K,59,1665.0,0
F,Married,Less than $40K,43,2639.0,0
F,Married,Less than $40K,59,2338.0,1566
F,Married,Less than $40K,51,2774.0,1362
F,Single,Unknown,57,4283.0,488
F,Single,Unknown,47,6263.0,2517
F,Single,Less than $40K,35,2317.0,1301
F,Divorced,Less than $40K,55,2239.0,1340
F,Married,Less than $40K,41,2225.0,0
F,Single,Less than $40K,51,1519.0,1148
F,Married,Unknown,48,5495.0,2200
F,Married,Less than $40K,51,2141.0,1176
F,Married,Less than $40K,43,2616.0,1786
F,Divorced,Less than $40K,39,5494.0,1356
F,Married,Less than $40K,52,2003.0,1735
F,Single,Less than $40K,47,2092.0,1499
M,Single,$60K - $80K,44,6606.0,2517
F,Married,Unknown,42,7102.0,0
F,Married,Less than $40K,51,13812.0,1132
M,Single,$60K - $80K,56,7075.0,1676
M,Single,$40K - $60K,44,4274.0,1680
F,Single,Less than $40K,47,2317.0,0
F,Single,Less than $40K,51,1438.3,642
M,Married,$80K - $120K,47,2888.0,0
F,Single,Unknown,44,12310.0,670
M,Married,$60K - $80K,48,1622.0,1249
F,Married,Less than $40K,45,1438.3,0
M,Single,$80K - $120K,40,12559.0,0
F,Unknown,$40K - $60K,56,2929.0,1287
F,Divorced,Less than $40K,48,1438.3,0
F,Single,Less than $40K,50,2319.0,1026
F,Married,Unknown,37,7927.0,996
F,Divorced,Less than $40K,55,1720.0,0
M,Single,$80K - $120K,38,3642.0,724
F,Married,$40K - $60K,49,3881.0,0
M,Unknown,$120K +,47,6143.0,1151
F,Married,Less than $40K,42,1438.3,0
F,Unknown,Less than $40K,52,2035.0,1343
F,Married,Less than $40K,47,3899.0,0
F,Single,$40K - $60K,52,1981.0,1082
F,Single,Less than $40K,50,2422.0,502
M,Married,$80K - $120K,52,11964.0,800
F,Married,Unknown,50,3862.0,0
M,Married,$80K - $120K,46,33142.0,0
M,Single,$120K +,40,34516.0,1436
F,Married,Less than $40K,42,3454.0,0
F,Married,Less than $40K,29,2732.0,1746
M,Divorced,$80K - $120K,50,1687.0,992
F,Married,Less than $40K,43,3523.0,0
M,Single,$120K +,40,5773.0,2024
F,Married,Unknown,45,4462.0,706
F,Married,Less than $40K,35,3976.0,1789
F,Single,Less than $40K,55,2679.0,2277
F,Married,$40K - $60K,49,1564.0,0
F,Single,$40K - $60K,53,1536.0,728
M,Married,$40K - $60K,46,2375.0,1196
F,Married,Less than $40K,50,2719.0,0
F,Divorced,$40K - $60K,53,3369.0,2424
F,Single,Less than $40K,58,3173.0,1713
F,Unknown,Less than $40K,47,3139.0,0
F,Married,Less than $40K,50,2140.0,0
F,Single,Less than $40K,56,2258.0,0
M,Married,$40K - $60K,48,2423.0,1779
F,Single,Less than $40K,55,2376.0,1969
M,Single,Less than $40K,38,1690.0,1459
F,Married,$40K - $60K,46,8583.0,0
F,Single,Less than $40K,52,2996.0,2147
F,Single,Unknown,49,2880.0,1996
M,Divorced,$80K - $120K,48,34516.0,1426
F,Single,Unknown,36,6966.0,905
M,Married,$120K +,36,11316.0,1599
F,Single,Less than $40K,38,1438.3,1003
M,Divorced,$120K +,44,11362.0,0
F,Married,Unknown,52,7210.0,0
F,Single,Unknown,55,7790.0,753
F,Married,Less than $40K,37,2023.0,1587
F,Married,$40K - $60K,51,9117.0,1259
F,Unknown,Less than $40K,41,1801.0,940
M,Married,$60K - $80K,51,8787.0,1087
M,Married,$60K - $80K,40,27436.0,642
F,Single,Less than $40K,65,2195.0,1917
M,Married,$80K - $120K,46,13734.0,568
M,Married,$60K - $80K,45,2731.0,1868
M,Single,$80K - $120K,49,2453.0,1534
M,Married,$60K - $80K,49,7451.0,1542
F,Married,$40K - $60K,41,2644.0,1794
M,Married,$80K - $120K,41,34516.0,825
M,Married,$60K - $80K,41,4575.0,1344
F,Single,Less than $40K,51,4860.0,1772
F,Married,Less than $40K,46,1438.3,510
F,Single,Less than $40K,37,1690.0,0
M,Married,$40K - $60K,39,1438.3,0
M,Single,$60K - $80K,46,24512.0,766
F,Single,$40K - $60K,43,1654.0,1474
M,Single,$80K - $120K,63,21430.0,0
M,Married,$120K +,50,34516.0,1915
M,Married,$40K - $60K,37,1438.3,759
F,Single,Less than $40K,33,2800.0,1559
M,Married,$60K - $80K,44,3117.0,1400
M,Married,$80K - $120K,44,2558.0,2016
M,Married,$60K - $80K,47,10061.0,0
F,Unknown,Unknown,45,3416.0,727
F,Married,Unknown,39,9371.0,1066
F,Married,Less than $40K,47,3147.0,2453
F,Single,Less than $40K,52,1554.0,926
F,Single,Unknown,47,3502.0,0
F,Single,Less than $40K,49,2712.0,1686
F,Married,Less than $40K,59,1438.3,0
M,Married,$120K +,39,3281.0,1682
F,Married,$40K - $60K,35,1438.3,0
F,Single,Less than $40K,39,2469.0,1826
M,Married,$80K - $120K,41,3497.0,0
F,Unknown,$40K - $60K,46,2505.0,0
M,Married,$60K - $80K,34,2763.0,1913
F,Married,Less than $40K,49,2081.0,0
F,Married,Unknown,55,2815.0,1848
F,Single,Less than $40K,56,1737.0,0
F,Single,Unknown,52,9078.0,1194
M,Unknown,$40K - $60K,46,6185.0,1960
F,Divorced,Unknown,51,2069.0,1802
M,Married,$80K - $120K,45,9234.0,0
F,Single,Less than $40K,37,2684.0,0
F,Married,$40K - $60K,48,2151.0,0
M,Single,$60K - $80K,52,2749.0,1380
F,Single,Less than $40K,44,1980.0,823
F,Married,Less than $40K,55,4232.0,0
F,Married,Less than $40K,45,1438.3,877
F,Unknown,Unknown,43,6931.0,1380
F,Married,Less than $40K,52,3302.0,2517
M,Single,Unknown,61,4235.0,1675
F,Married,Unknown,51,6501.0,0
F,Single,Unknown,34,6376.0,1322
F,Single,Less than $40K,33,1457.0,0
F,Married,$40K - $60K,38,5576.0,0
F,Single,Unknown,56,1438.3,0
F,Single,Unknown,45,2478.0,1748
M,Divorced,$60K - $80K,44,3650.0,1270
F,Divorced,Less than $40K,52,2111.0,0
F,Single,Unknown,30,12917.0,1157
M,Single,$120K +,56,7327.0,0
M,Married,$80K - $120K,46,13324.0,0
M,Unknown,$80K - $120K,34,11154.0,1612
F,Divorced,Unknown,43,9535.0,660
M,Single,$40K - $60K,37,10226.0,0
F,Married,Less than $40K,37,2140.0,0
F,Married,Less than $40K,49,2904.0,2203
M,Married,$80K - $120K,40,1770.0,584
F,Single,Less than $40K,37,1534.0,0
F,Single,Less than $40K,46,2170.0,1498
M,Single,$120K +,53,10001.0,0
F,Married,Unknown,56,4169.0,1549
M,Single,Less than $40K,65,5363.0,1309
F,Single,Less than $40K,50,3206.0,0
M,Married,$60K - $80K,50,18085.0,747
F,Married,$40K - $60K,61,2566.0,2164
F,Married,$40K - $60K,35,1438.3,0
F,Single,Less than $40K,65,6812.0,1926
F,Single,$40K - $60K,45,2700.0,1977
F,Married,Unknown,50,5471.0,1342
F,Divorced,Less than $40K,43,4332.0,1313
F,Married,Less than $40K,48,2447.0,1267
F,Single,Less than $40K,41,1783.0,1282
M,Single,$60K - $80K,42,11761.0,1775
F,Single,Less than $40K,52,2340.0,1101
F,Single,Less than $40K,45,2859.0,1776
M,Married,$40K - $60K,37,2523.0,2481
M,Married,$40K - $60K,48,4776.0,0
F,Married,Less than $40K,59,2697.0,1410
F,Married,Less than $40K,57,3542.0,2417
M,Single,$120K +,57,34516.0,1000
F,Married,Unknown,40,8823.0,0
F,Single,Less than $40K,52,1764.0,0
F,Married,Less than $40K,43,3492.0,2517
F,Married,Less than $40K,36,2977.0,1340
M,Single,$60K - $80K,49,30976.0,2051
M,Married,$60K - $80K,43,2810.0,2384
F,Single,Less than $40K,39,1438.3,0
M,Single,$40K - $60K,44,8997.0,708
F,Single,Less than $40K,57,2002.0,1188
M,Single,$60K - $80K,55,4998.0,1626
F,Married,Less than $40K,37,2310.0,1513
F,Married,$40K - $60K,54,3892.0,0
M,Married,$60K - $80K,34,2345.0,1643
M,Single,$80K - $120K,50,2135.0,1506
F,Single,Less than $40K,50,2528.0,1689
F,Married,Less than $40K,50,3397.0,1658
M,Married,$60K - $80K,49,19719.0,1395
F,Married,Unknown,41,15292.0,1325
M,Married,$120K +,52,31733.0,0
F,Single,$40K - $60K,54,1438.3,0
F,Married,Less than $40K,54,1638.0,0
F,Single,Less than $40K,50,2775.0,1475
F,Married,$40K - $60K,37,2547.0,1965
F,Married,Unknown,50,5708.0,1884
M,Married,$80K - $120K,46,19838.0,1290
M,Married,$60K - $80K,47,1789.0,0
F,Single,$40K - $60K,51,2284.0,1674
M,Single,$60K - $80K,42,11535.0,1527
F,Married,Unknown,28,3524.0,1306
M,Single,$60K - $80K,58,30186.0,0
F,Single,Less than $40K,44,1438.3,0
F,Married,Less than $40K,40,1620.0,1278
F,Single,Less than $40K,51,4038.0,1237
M,Single,$80K - $120K,56,2078.0,1696
F,Married,Less than $40K,51,1571.0,0
M,Married,$80K - $120K,43,4726.0,1161
F,Unknown,Less than $40K,56,4604.0,621
M,Single,$80K - $120K,48,34516.0,1629
M,Married,$40K - $60K,56,1438.3,0
F,Divorced,Less than $40K,48,2680.0,1871
F,Married,$40K - $60K,41,4312.0,2517
M,Married,$60K - $80K,50,2205.0,1659
F,Married,Less than $40K,44,2679.0,727
M,Single,$80K - $120K,54,34516.0,2488
F,Married,Less than $40K,48,3378.0,0
M,Single,$40K - $60K,34,1793.0,1141
F,Divorced,Less than $40K,59,2228.0,1502
F,Single,$40K - $60K,41,2577.0,1582
F,Married,Less than $40K,39,1462.0,0
F,Married,Less than $40K,50,4038.0,1530
F,Divorced,Unknown,35,1438.3,0
F,Divorced,Less than $40K,34,4408.0,1510
F,Married,Unknown,46,4163.0,0
F,Married,$40K - $60K,49,7201.0,1992
M,Single,$80K - $120K,49,1883.0,1295
F,Single,Less than $40K,42,3308.0,2517
F,Single,Less than $40K,65,2022.0,0
F,Married,Less than $40K,43,8597.0,903
F,Married,Unknown,38,4693.0,634
F,Unknown,Less than $40K,52,2873.0,1714
F,Divorced,$40K - $60K,39,3400.0,2307
F,Divorced,$40K - $60K,48,2405.0,1410
M,Single,$80K - $120K,46,34516.0,1104
M,Married,$80K - $120K,44,8241.0,0
F,Married,$40K - $60K,53,1438.3,582
F,Unknown,Less than $40K,44,2608.0,1804
F,Married,Less than $40K,41,2359.0,1509
F,Married,Less than $40K,47,1790.0,0
F,Married,Less than $40K,54,2247.0,0
M,Single,$80K - $120K,40,3624.0,0
F,Married,Less than $40K,42,1438.3,0
F,Married,$40K - $60K,39,2901.0,2143
F,Married,Less than $40K,41,9759.0,2038
F,Married,Less than $40K,57,2525.0,1203
F,Divorced,Less than $40K,60,2737.0,1812
M,Married,$80K - $120K,51,19262.0,1480
F,Single,Unknown,33,2252.0,1826
M,Single,$80K - $120K,46,7077.0,0
M,Single,$60K - $80K,63,2706.0,889
F,Married,$40K - $60K,49,3263.0,1522
F,Married,$40K - $60K,41,3281.0,0
M,Married,$80K - $120K,51,8169.0,794
F,Divorced,$40K - $60K,46,3276.0,1915
F,Single,Less than $40K,41,1966.0,1452
F,Married,Unknown,46,5869.0,0
F,Single,Less than $40K,34,1438.3,0
F,Married,Less than $40K,45,3682.0,0
F,Divorced,Unknown,27,13439.0,2003
F,Single,Less than $40K,54,1694.0,0
M,Divorced,$80K - $120K,41,1636.0,986
F,Married,Less than $40K,48,1449.0,749
F,Married,Less than $40K,45,1513.0,788
F,Single,Less than $40K,39,1438.3,0
F,Divorced,Less than $40K,46,4120.0,1578
F,Single,Less than $40K,47,2289.0,1611
F,Single,Less than $40K,45,2016.0,972
M,Married,$80K - $120K,49,2509.0,450
F,Married,Less than $40K,40,3511.0,0
M,Divorced,$60K - $80K,45,2751.0,2432
F,Divorced,Less than $40K,34,2426.0,0
M,Married,$80K - $120K,44,12230.0,1196
M,Single,$60K - $80K,42,7328.0,936
F,Married,Unknown,47,2264.0,0
M,Single,$80K - $120K,42,3046.0,1231
F,Married,Unknown,51,5881.0,0
M,Married,$80K - $120K,52,16207.0,922
M,Unknown,$60K - $80K,44,15468.0,1187
F,Single,Less than $40K,47,5950.0,0
F,Married,Less than $40K,48,3119.0,2196
F,Unknown,Unknown,50,1507.0,0
F,Single,Less than $40K,51,2902.0,1634
F,Married,Less than $40K,47,1585.0,1304
F,Single,Less than $40K,47,2899.0,2418
F,Married,$40K - $60K,50,2295.0,1277
F,Married,Less than $40K,39,3251.0,1937
F,Married,Unknown,48,4009.0,1361
F,Married,Less than $40K,45,3411.0,1472
M,Single,$40K - $60K,49,15525.0,1299
F,Single,Less than $40K,35,2118.0,1189
F,Married,$40K - $60K,34,2275.0,1468
F,Single,Less than $40K,59,2601.0,1888
M,Single,$80K - $120K,52,4642.0,2413
M,Single,Less than $40K,58,1438.3,0
F,Single,Less than $40K,51,1858.0,1071
F,Single,Less than $40K,59,2636.0,1619
F,Single,$40K - $60K,50,3743.0,881
F,Single,Less than $40K,49,1438.3,0
F,Married,Less than $40K,61,4130.0,0
M,Unknown,$40K - $60K,47,10960.0,1333
F,Married,$40K - $60K,52,3900.0,0
M,Married,Less than $40K,38,6236.0,1204
F,Single,Unknown,34,2591.0,0
F,Married,Less than $40K,57,1615.0,950
F,Single,Unknown,47,8332.0,0
F,Married,Less than $40K,55,2033.0,1037
M,Single,$80K - $120K,55,8082.0,1138
F,Married,Less than $40K,57,1511.0,0
F,Divorced,Unknown,43,11536.0,2074
F,Single,Less than $40K,65,4010.0,1504
F,Married,Less than $40K,55,1669.0,1000
F,Married,Unknown,54,11905.0,0
F,Married,Less than $40K,44,3052.0,0
F,Unknown,Less than $40K,55,2712.0,1617
F,Married,Less than $40K,39,1978.0,871
F,Married,Less than $40K,37,1438.3,687
F,Married,Less than $40K,55,1606.0,0
F,Married,Less than $40K,46,2406.0,1705
M,Single,$80K - $120K,44,5877.0,1160
F,Married,Less than $40K,57,2796.0,0
F,Married,Unknown,54,2876.0,1267
F,Single,Less than $40K,38,3554.0,0
F,Single,Less than $40K,48,9505.0,2390
F,Single,Less than $40K,34,1576.0,0
F,Married,Less than $40K,44,1438.3,0
M,Single,$60K - $80K,39,2973.0,1136
F,Single,Less than $40K,40,1438.3,0
F,Single,Unknown,41,5647.0,1175
F,Unknown,$40K - $60K,43,1766.0,0
F,Unknown,Less than $40K,50,1606.0,0
F,Unknown,Less than $40K,54,2223.0,632
F,Single,$40K - $60K,47,2896.0,0
M,Married,$60K - $80K,51,2157.0,1494
F,Divorced,Unknown,49,3802.0,1558
M,Married,$60K - $80K,43,13840.0,1079
F,Unknown,Less than $40K,36,2169.0,1602
F,Single,Less than $40K,47,4862.0,0
F,Married,Less than $40K,45,2289.0,1037
M,Married,$60K - $80K,49,22651.0,1085
F,Unknown,Less than $40K,48,2406.0,1744
M,Married,$80K - $120K,52,3022.0,895
M,Married,$80K - $120K,46,12935.0,1417
F,Single,Less than $40K,45,1438.3,0
F,Married,$40K - $60K,49,1438.3,522
F,Single,Less than $40K,43,2256.0,1346
F,Single,Less than $40K,40,1516.0,0
F,Unknown,$40K - $60K,48,2485.0,1651
F,Single,Less than $40K,53,1820.0,909
F,Married,Unknown,54,2156.0,1134
M,Single,$60K - $80K,48,5826.0,1482
F,Single,Less than $40K,39,10190.0,891
F,Single,Less than $40K,45,2035.0,1174
F,Single,Less than $40K,45,1833.0,0
M,Single,$60K - $80K,56,1623.0,0
F,Single,Less than $40K,27,1835.0,1647
F,Married,Less than $40K,47,4490.0,1989
M,Divorced,$60K - $80K,48,11062.0,0
F,Single,Less than $40K,30,1574.0,0
F,Single,Less than $40K,52,2370.0,1490
F,Single,Less than $40K,35,2658.0,0
F,Married,Less than $40K,38,2300.0,0
F,Single,Less than $40K,44,2368.0,1244
F,Married,$40K - $60K,53,2883.0,1936
F,Divorced,Unknown,43,3264.0,2042
F,Single,Less than $40K,46,1937.0,916
F,Married,$40K - $60K,40,2166.0,1465
F,Married,$40K - $60K,43,7135.0,1164
F,Single,Less than $40K,56,1438.3,787
F,Single,$40K - $60K,48,3743.0,2090
F,Divorced,Unknown,31,5190.0,1682
M,Married,$40K - $60K,41,6059.0,1171
F,Single,Less than $40K,47,2577.0,1450
F,Married,Less than $40K,43,3761.0,2121
F,Married,Less than $40K,50,1572.0,0
F,Married,$40K - $60K,39,1637.0,0
M,Married,$120K +,51,28600.0,0
M,Married,Less than $40K,40,4402.0,1524
F,Unknown,Less than $40K,50,2652.0,1911
F,Married,$40K - $60K,41,6602.0,0
F,Single,$40K - $60K,37,1900.0,0
F,Single,$40K - $60K,56,3455.0,1385
M,Single,$60K - $80K,47,18123.0,1775
F,Divorced,Less than $40K,44,2295.0,1250
M,Married,$80K - $120K,38,1518.0,1115
F,Unknown,Less than $40K,45,2723.0,1902
F,Married,Less than $40K,47,1776.0,691
F,Married,Less than $40K,39,1968.0,1270
F,Single,Less than $40K,48,1860.0,1054
F,Divorced,Less than $40K,53,2684.0,2126
F,Single,$40K - $60K,51,2180.0,1865
F,Single,Less than $40K,41,1661.0,0
F,Single,Less than $40K,38,1679.0,0
F,Married,Less than $40K,36,1691.0,0
F,Single,Less than $40K,46,2888.0,1641
F,Married,$40K - $60K,58,1871.0,1339
F,Unknown,Less than $40K,44,3226.0,2517
M,Married,$80K - $120K,41,12114.0,1379
F,Married,Less than $40K,42,4959.0,1483
M,Single,$80K - $120K,42,10374.0,599
F,Married,Less than $40K,45,1438.3,1080
F,Single,Unknown,44,1486.0,849
F,Married,Unknown,41,2542.0,0
M,Single,Less than $40K,35,1931.0,0
F,Single,Less than $40K,48,1644.0,500
F,Single,$40K - $60K,43,2283.0,0
F,Unknown,Less than $40K,36,4943.0,1204
M,Unknown,$40K - $60K,44,1438.3,0
F,Single,Less than $40K,43,1438.3,0
F,Divorced,Less than $40K,52,1438.3,0
F,Single,Less than $40K,61,1760.0,0
F,Single,Less than $40K,50,1852.0,0
M,Married,$60K - $80K,43,2049.0,1530
F,Married,Less than $40K,48,1670.0,0
F,Divorced,Less than $40K,35,1511.0,864
M,Single,$80K - $120K,39,6018.0,0
F,Single,Less than $40K,59,3030.0,1251
F,Single,Less than $40K,58,2755.0,1483
M,Single,$80K - $120K,51,8783.0,2142
M,Single,Less than $40K,64,1861.0,1677
M,Married,$120K +,50,13709.0,813
F,Unknown,Less than $40K,46,4710.0,0
M,Married,$80K - $120K,49,17285.0,1853
F,Single,Less than $40K,53,1438.3,661
M,Single,$60K - $80K,54,7866.0,0
F,Married,Less than $40K,42,2190.0,1299
F,Married,Less than $40K,43,4829.0,1153
M,Divorced,$80K - $120K,46,3210.0,2081
F,Single,Less than $40K,38,1755.0,750
F,Single,$40K - $60K,47,1438.3,703
M,Unknown,$60K - $80K,37,14485.0,2124
M,Married,$40K - $60K,47,6043.0,0
M,Single,$60K - $80K,43,6348.0,0
F,Married,Less than $40K,56,1438.3,0
M,Married,$60K - $80K,43,17239.0,0
F,Married,Unknown,45,18432.0,484
F,Single,Less than $40K,47,1636.0,1135
F,Married,Unknown,43,7951.0,1456
M,Married,$60K - $80K,44,14201.0,0
F,Unknown,$40K - $60K,52,2723.0,1544
F,Single,Less than $40K,52,2019.0,991
F,Single,Unknown,43,10305.0,1870
M,Married,$40K - $60K,49,3114.0,2208
M,Unknown,$40K - $60K,40,4323.0,0
F,Single,Less than $40K,50,3647.0,2517
